Date,Day of Week,Visits,Year,xmas,cl,Class,days from christmas,springb,springb2,sb,break,holiday,snowfall,snowclass,Snowclass,numsnowclass,weekday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,SeasonDay,class,wkday,wkday2,dec,spred
4/6/2014,Thursday,1661,1,0,2,3,101,0,0,0,0,0,3,Low,low,1,1,0,0,0,0,0,0,1,130,high,0,1,0,2
4/7/2014,Friday,951,1,0,1,2,102,0,0,0,0,0,0,None,none,0,0,1,0,0,0,0,0,0,131,medium,0,0,0,3
4/8/2014,Saturday,430,1,0,1,1,103,0,0,0,0,0,1,Low,low,1,0,0,1,0,0,0,0,0,132,low,0,0,0,3
4/9/2014,Sunday,643,1,0,1,2,104,0,0,0,0,0,1,Low,low,1,0,0,0,1,0,0,0,0,133,medium,0,0,0,3
4/10/2014,Monday,885,1,0,1,2,105,0,0,0,0,0,0,None,none,0,1,0,0,0,1,0,0,0,134,medium,1,0,0,2
4/11/2014,Tuesday,952,1,0,1,2,106,0,0,0,0,0,0,None,none,0,1,0,0,0,0,1,0,0,135,medium,1,1,0,2
4/12/2014,Wednesday,2154,1,0,3,3,107,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,1,0,136,high,1,1,0,2
4/13/2014,Thursday,2558,1,0,3,3,108,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,0,1,137,high,0,1,0,2
4/14/2014,Friday,665,1,0,1,2,109,0,0,0,0,0,0,None,none,0,0,1,0,0,0,0,0,0,138,medium,0,0,0,3
4/15/2014,Saturday,342,1,0,1,1,110,0,0,0,0,0,0,None,none,0,0,0,1,0,0,0,0,0,139,low,0,0,0,3
4/16/2014,Sunday,321,1,0,1,1,111,0,0,0,0,0,2,Low,low,1,0,0,0,1,0,0,0,0,140,low,0,0,0,3
4/17/2014,Monday,300,1,0,1,1,112,0,0,0,0,0,2,Low,low,1,1,0,0,0,1,0,0,0,141,low,1,0,0,2
4/18/2014,Tuesday,1196,1,0,2,3,113,0,0,0,0,0,3,Low,low,1,1,0,0,0,0,1,0,0,142,high,1,1,0,2
4/19/2014,Wednesday,1634,1,0,2,3,114,0,0,0,0,0,0,None,none,0,1,0,0,0,0,0,1,0,143,high,1,1,0,2
4/20/2014,Thursday,1636,1,0,2,3,115,0,0,0,0,0,3,Low,low,1,1,0,0,0,0,0,0,1,144,high,0,1,0,2
4/26/2014,Saturday,1013,1,0,2,3,116,0,0,0,0,0,1,Low,low,1,0,0,1,0,0,0,0,0,145,high,0,0,0,3
4/27/2014,Sunday,863,1,0,1,2,117,0,0,0,0,0,5,MediumLow,medium,2,0,0,0,1,0,0,0,0,146,medium,0,0,0,3
11/21/2015,Saturday,1285,2,0,2,3,34,0,0,0,0,0,0,None,none,0,0,0,1,0,0,0,0,0,1,high,0,0,0,3
11/22/2015,Sunday,944,2,0,1,2,33,0,0,0,0,0,0,None,none,0,0,0,0,1,0,0,0,0,2,medium,0,0,0,3
11/23/2015,Monday,182,2,0,1,1,32,0,0,0,0,0,0,None,none,0,1,0,0,0,1,0,0,0,3,low,1,0,0,2
11/24/2015,Tuesday,269,2,0,1,1,31,0,0,0,0,0,4,MediumLow,medium,2,1,0,0,0,0,1,0,0,4,low,1,1,0,2
11/25/2015,Wednesday,743,2,0,1,2,30,0,0,0,0,0,2,Low,low,1,1,0,0,0,0,0,1,0,5,medium,1,1,0,2
11/26/2015,Thursday,883,2,0,1,2,29,0,0,0,0,1,0,None,none,0,1,0,0,0,0,0,0,1,6,medium,0,1,0,2
11/27/2015,Friday,2173,2,0,3,3,28,0,0,0,0,1,0,None,none,0,0,1,0,0,0,0,0,0,7,high,0,0,0,3
