Date,Day of Week,Visits,Year,xmas,Class,days from christmas,spring,break,holiday,snowfall,snowclass,numsnowclass,weekday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday
2/23/16,Tuesday,1083,2,0,3,60,0,0,0,1,Low,1,1,0,0,0,0,1,0,0
2/24/16,Wednesday,855,2,0,2,61,0,0,0,0,None,0,1,0,0,0,0,0,1,0
2/25/16,Thursday,1072,2,0,3,62,0,0,0,0,None,0,1,0,0,0,0,0,0,1
2/26/16,Friday,1130,2,0,3,63,0,0,0,0,None,0,0,1,0,0,0,0,0,0
2/27/16,Saturday,3241,2,0,3,64,0,0,0,0,None,0,0,0,1,0,0,0,0,0
2/28/16,Sunday,2178,2,0,3,65,0,0,0,0,None,0,0,0,0,1,0,0,0,0
2/29/16,Monday,998,2,0,2,66,0,0,0,8,MediumHigh,4,1,0,0,0,1,0,0,0
3/1/16,Tuesday,123,2,0,1,67,0,0,0,4,MediumLow,2,1,0,0,0,0,1,0,0
3/2/16,Wednesday,745,2,0,2,68,0,0,0,2,Low,1,1,0,0,0,0,0,1,0
3/3/16,Thursday,1004,2,0,3,69,0,0,0,0,None,0,1,0,0,0,0,0,0,1
3/4/16,Friday,1449,2,0,3,70,0,0,0,0,None,0,0,1,0,0,0,0,0,0
3/5/16,Saturday,3488,2,0,3,71,0,0,0,2,Low,1,0,0,1,0,0,0,0,0
3/6/16,Sunday,3162,2,0,3,72,0,0,0,3,Low,1,0,0,0,1,0,0,0,0
3/7/16,Monday,636,2,0,2,73,0,0,0,0,None,0,1,0,0,0,1,0,0,0
3/8/16,Tuesday,684,2,0,2,74,0,0,0,3,Low,1,1,0,0,0,0,1,0,0
3/9/16,Wednesday,577,2,0,2,75,0,0,0,1,Low,1,1,0,0,0,0,0,1,0
3/10/16,Thursday,931,2,0,2,76,0,0,0,12,High,5,1,0,0,0,0,0,0,1
3/11/16,Friday,1642,2,0,3,77,0,0,0,2,Low,1,0,1,0,0,0,0,0,0
3/12/16,Saturday,3775,2,0,3,78,0,0,0,3,Low,1,0,0,1,0,0,0,0,0
3/13/16,Sunday,3184,2,0,3,79,0,0,0,11,High,5,0,0,0,1,0,0,0,0
3/14/16,Monday,1385,2,0,3,80,1,1,0,12,High,5,1,0,0,0,1,0,0,0
